,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-10-09,10,2019-10-09,26.458333333333332,46.46666666666667,68.91666666666667,937.1416666666668,157.91666666666666,2.2666666666666666,123.5,287.4166666666667,390.5833333333333
2019-10-10,10,2019-10-10,27.0,41.775,63.166666666666664,937.3833333333333,102.66666666666667,2.475,93.08333333333333,239.33333333333334,316.25
2019-10-11,10,2019-10-11,26.84166666666667,43.01666666666667,64.41666666666667,937.3416666666667,121.58333333333333,2.1999999999999997,178.41666666666666,221.16666666666666,374.9166666666667
2019-10-12,10,2019-10-12,27.233333333333334,42.31666666666667,63.666666666666664,937.5916666666667,107.0,2.5,152.66666666666666,232.75,358.25
2019-10-13,10,2019-10-13,27.258333333333336,42.55833333333333,64.33333333333333,938.5916666666667,77.41666666666667,2.975,29.75,259.8333333333333,285.1666666666667
2019-10-14,10,2019-10-14,27.141666666666666,43.083333333333336,66.25,939.2166666666667,83.08333333333333,3.483333333333333,163.66666666666666,273.8333333333333,402.25
2019-10-15,10,2019-10-15,27.191666666666666,29.849999999999998,55.25,939.1583333333333,84.75,3.9499999999999997,387.5833333333333,197.16666666666666,473.0
2019-10-16,10,2019-10-16,26.724999999999998,27.916666666666668,56.666666666666664,938.775,89.16666666666667,3.5999999999999996,309.8333333333333,225.58333333333334,459.5
2019-10-17,10,2019-10-17,26.65833333333333,32.266666666666666,57.75,938.7166666666667,87.58333333333333,2.908333333333333,155.66666666666666,282.3333333333333,390.6666666666667
2019-10-18,10,2019-10-18,24.2,48.824999999999996,77.0,938.3666666666667,74.0,2.533333333333333,0.0,97.5,97.5
2019-10-19,10,2019-10-19,21.308333333333334,52.525,93.5,939.2916666666666,70.08333333333333,4.108333333333333,0.0,56.0,56.0
2019-10-20,10,2019-10-20,21.433333333333334,51.56666666666666,90.5,939.225,51.583333333333336,5.1000000000000005,0.0,49.416666666666664,49.416666666666664
2019-10-21,10,2019-10-21,23.858333333333334,49.050000000000004,84.25,937.5916666666667,94.08333333333333,4.858333333333333,8.666666666666666,197.5,202.5
2019-10-22,10,2019-10-22,24.041666666666668,51.975,84.0,935.8333333333334,135.66666666666666,2.183333333333333,0.0,193.16666666666666,193.16666666666666
2019-10-23,10,2019-10-23,23.083333333333332,52.09166666666667,86.5,934.4250000000001,159.33333333333334,1.9416666666666667,11.916666666666666,165.5,167.33333333333334
2019-10-24,10,2019-10-24,21.849999999999998,52.25833333333333,91.08333333333333,934.2333333333332,103.25,3.6166666666666667,0.08333333333333333,113.0,113.08333333333333
2019-10-25,10,2019-10-25,21.633333333333336,52.13333333333333,91.41666666666667,933.6,97.5,4.05,0.0,84.91666666666667,84.91666666666667
2019-10-26,10,2019-10-26,23.558333333333334,49.23333333333333,82.66666666666667,934.9,136.66666666666666,4.791666666666667,9.5,87.33333333333333,88.58333333333333
2019-10-27,10,2019-10-27,24.525000000000002,39.891666666666666,73.58333333333333,936.8583333333332,131.41666666666666,3.6999999999999997,217.08333333333334,254.58333333333334,383.8333333333333
2019-10-28,10,2019-10-28,26.09166666666667,41.75833333333333,65.91666666666667,937.8833333333333,129.66666666666666,3.483333333333333,393.1666666666667,147.58333333333334,426.5
2019-10-29,10,2019-10-29,26.325,37.925000000000004,71.25,938.8000000000001,107.41666666666667,3.7083333333333335,349.0,206.33333333333334,427.3333333333333
2019-10-30,10,2019-10-30,26.016666666666666,40.550000000000004,72.75,938.125,106.58333333333333,3.9749999999999996,258.4166666666667,217.16666666666666,394.9166666666667
2019-10-31,10,2019-10-31,24.650000000000002,43.916666666666664,73.41666666666667,937.15,105.5,4.441666666666666,0.0,158.33333333333334,158.33333333333334
2019-11-01,11,2019-11-01,24.608333333333334,49.4,80.16666666666667,936.5500000000001,122.75,4.758333333333333,7.666666666666667,227.25,229.66666666666666
2019-11-02,11,2019-11-02,25.375,35.93333333333333,65.08333333333333,938.5333333333333,147.41666666666666,3.233333333333334,298.75,190.33333333333334,404.8333333333333
2019-11-03,11,2019-11-03,25.291666666666668,39.225,72.33333333333333,940.15,143.33333333333334,1.175,307.6666666666667,210.25,415.0
2019-11-04,11,2019-11-04,26.3,42.80833333333334,68.66666666666667,940.9,79.75,2.5416666666666665,165.25,263.0,377.0
2019-11-05,11,2019-11-05,26.366666666666664,39.324999999999996,65.41666666666667,938.9250000000001,80.08333333333333,1.7916666666666667,315.6666666666667,187.75,399.9166666666667
2019-11-06,11,2019-11-06,25.925,39.9,68.91666666666667,936.5166666666668,184.08333333333334,1.45,242.25,192.5,360.9166666666667
2019-11-07,11,2019-11-07,25.34166666666667,26.275000000000002,67.58333333333333,936.3833333333333,237.75,2.65,490.25,147.75,458.25
2019-11-08,11,2019-11-08,24.316666666666666,20.191666666666666,68.91666666666667,937.5583333333334,248.58333333333334,2.75,691.5833333333334,76.75,493.3333333333333
2019-11-09,11,2019-11-09,24.90833333333333,17.066666666666666,53.916666666666664,938.1,176.83333333333334,1.3083333333333333,571.75,106.83333333333333,475.5833333333333
2019-11-10,11,2019-11-10,25.525000000000002,19.708333333333332,55.166666666666664,938.6083333333332,76.08333333333333,1.6583333333333332,546.5833333333334,126.08333333333333,469.8333333333333
2019-11-11,11,2019-11-11,25.491666666666664,24.308333333333334,59.916666666666664,938.525,94.5,2.1666666666666665,346.6666666666667,194.5,424.75
2019-11-12,11,2019-11-12,25.233333333333334,30.625,62.583333333333336,939.2583333333333,110.0,3.2083333333333335,301.3333333333333,208.91666666666666,405.5
2019-11-13,11,2019-11-13,24.575,33.00833333333333,64.0,940.2583333333333,104.58333333333333,3.7916666666666665,273.8333333333333,213.91666666666666,395.75
2019-11-14,11,2019-11-14,23.583333333333332,23.816666666666666,62.916666666666664,940.0166666666668,116.16666666666667,3.5416666666666665,379.0833333333333,178.16666666666666,426.25
2019-11-15,11,2019-11-15,24.883333333333336,34.583333333333336,67.75,939.6833333333334,121.66666666666667,2.8000000000000003,114.58333333333333,244.08333333333334,325.9166666666667
2019-11-16,11,2019-11-16,25.21666666666667,32.75,66.41666666666667,939.8333333333334,108.0,3.1666666666666665,279.8333333333333,202.16666666666666,395.3333333333333
2019-11-17,11,2019-11-17,25.75,31.21666666666667,61.833333333333336,940.8583333333332,77.58333333333333,2.8000000000000003,278.75,208.08333333333334,392.4166666666667
2019-11-18,11,2019-11-18,24.974999999999998,21.125,50.5,940.7583333333333,80.0,3.475,471.0833333333333,145.66666666666666,440.8333333333333
2019-11-19,11,2019-11-19,24.808333333333334,22.016666666666666,54.916666666666664,940.0583333333334,92.83333333333333,2.2666666666666666,398.1666666666667,167.16666666666666,424.5833333333333
2019-11-20,11,2019-11-20,25.224999999999998,25.066666666666666,57.25,938.8916666666668,106.16666666666667,2.3000000000000003,246.25,217.25,382.9166666666667
2019-11-21,11,2019-11-21,25.099999999999998,27.95,61.75,939.9166666666666,107.33333333333333,3.483333333333333,111.25,258.25,334.3333333333333
2019-11-22,11,2019-11-22,25.008333333333336,25.2,62.166666666666664,941.15,111.91666666666667,3.4250000000000003,354.0,180.75,406.0
2019-11-23,11,2019-11-23,24.833333333333332,21.59166666666667,54.166666666666664,940.9083333333333,109.58333333333333,3.4416666666666664,495.5,133.91666666666666,438.1666666666667
2019-11-24,11,2019-11-24,24.375,20.466666666666665,49.5,940.225,101.0,3.033333333333333,479.4166666666667,141.66666666666666,433.6666666666667
2019-11-25,11,2019-11-25,24.349999999999998,20.583333333333332,54.083333333333336,939.5416666666666,109.16666666666667,3.65,479.0833333333333,141.0,431.8333333333333
2019-11-26,11,2019-11-26,24.683333333333334,20.891666666666666,55.916666666666664,938.6583333333333,118.08333333333333,3.975,466.25,141.91666666666666,428.9166666666667
2019-11-27,11,2019-11-27,24.375,21.733333333333334,59.5,939.4166666666666,116.33333333333333,3.8333333333333335,451.75,146.75,424.75
2019-11-28,11,2019-11-28,25.358333333333334,26.175,53.5,939.625,114.58333333333333,2.891666666666667,484.0833333333333,131.66666666666666,424.9166666666667
2019-11-29,11,2019-11-29,25.53333333333333,29.308333333333334,58.333333333333336,939.7333333333332,99.16666666666667,2.5166666666666666,337.6666666666667,182.41666666666666,392.5
2019-11-30,11,2019-11-30,25.925,25.633333333333336,60.833333333333336,939.4833333333332,116.25,3.766666666666667,229.16666666666666,227.66666666666666,364.0833333333333
2019-12-01,12,2019-12-01,26.025000000000002,28.683333333333334,55.083333333333336,939.8083333333334,110.41666666666667,3.65,312.8333333333333,186.0,383.25
2019-12-02,12,2019-12-02,24.974999999999998,32.983333333333334,65.16666666666667,939.6666666666666,113.83333333333333,4.741666666666666,234.83333333333334,219.5,349.6666666666667
2019-12-03,12,2019-12-03,23.066666666666666,34.675000000000004,74.16666666666667,939.9166666666666,117.0,5.233333333333333,115.66666666666667,255.25,328.3333333333333
2019-12-04,12,2019-12-04,23.366666666666664,40.574999999999996,69.75,940.6833333333334,116.5,4.908333333333333,36.666666666666664,235.16666666666666,256.3333333333333
